# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
6064,0,0,2.10944e+08,CPU2_605,1,23.4382,1060,50
48675,0,0,7.26835e+08,SW5_44,1,0.559104,22,7
48847,0,0,3.56849e+07,CPU2_604,1,3.96499,2541,50
12239,0,0,1.99976e+09,CPU2_603,1,222.196,1020,50
24493,0,0,8.45087e+08,CPU2_602,1,93.8986,1234,50
49016,0,0,1.97273e+09,CPU2_601,1,219.192,2161,50
24608,0,0,1.88937e+09,CPU2_600,1,209.93,2842,50
24755,0,0,1.89083e+09,CPU2_599,1,210.092,1560,50
49177,0,0,6.05272e+08,SW5_43,1,0.465593,607,7
49432,0,0,1.78775e+09,SW5_42,1,1.37519,562,7
24937,0,0,1.22453e+09,CPU2_598,1,136.059,2267,50
12713,0,0,1.84291e+09,CPU2_597,1,204.768,1485,50
25369,0,0,3.89973e+08,CPU2_596,1,43.3303,2667,50
25501,0,0,3.76196e+08,CPU2_595,1,41.7996,1981,50
12952,0,0,1.42991e+09,CPU2_594,1,158.879,984,50
25642,0,0,5.98945e+08,CPU2_593,1,66.5495,1162,50
6549,0,0,1.34552e+09,SW6_57,1,1.34521,722,13
26162,0,0,3.05235e+08,CPU2_592,1,33.915,1360,50
26441,0,0,1.07893e+09,CPU2_591,1,119.881,1283,50
26585,0,0,1.81173e+09,CPU2_590,1,201.303,2117,50
26981,0,0,4.86351e+08,CPU2_589,1,54.039,1430,50
27001,0,0,1.16925e+08,SW5_41,1,0.0899421,155,7
6812,0,0,1.75942e+09,CPU2_588,1,195.491,2390,50
6808,0,0,1.28699e+09,CPU2_587,1,142.999,911,50
6900,0,0,1.09492e+09,CPU2_586,1,121.657,1597,50
3481,0,0,1.55849e+09,CPU2_585,1,173.165,2089,50
13959,0,0,7.70403e+08,CPU2_584,1,85.6004,2818,50
13976,0,0,1.5354e+09,CPU2_583,1,170.6,1699,50
14142,0,0,1.20778e+09,CPU2_582,1,134.198,2479,50
28361,0,0,1.24245e+09,CPU2_581,1,138.05,2264,50
28453,0,0,5.37081e+08,CPU2_580,1,59.6756,2376,50
28851,0,0,1.53591e+09,CPU2_579,1,170.656,1719,50
28998,0,0,1.67733e+09,CPU2_578,1,186.37,1447,50
29074,0,0,1.99485e+09,SW6_56,1,1.9944,718,13
29362,0,0,2.00964e+09,CPU2_577,1,223.294,2422,50
1913,0,0,5.23903e+08,CPU2_576,1,58.2115,2711,50
14872,0,0,8.21791e+07,CPU2_575,1,9.13102,2970,50
29809,0,0,1.5932e+08,CPU2_574,1,17.7023,1134,50
29820,0,0,1.60211e+09,CPU2_573,1,178.013,2681,50
14941,0,0,4.69852e+08,CPU2_572,1,52.2058,1278,50
29878,0,0,1.44949e+09,SW5_40,1,1.11499,493,7
7549,0,0,6.25918e+08,CPU2_571,1,69.5464,3199,50
15081,0,0,1.76995e+09,CPU2_570,1,196.661,2864,50
30272,0,0,1.31754e+09,CPU2_569,1,146.394,1643,50
1824,0,0,1.28707e+09,CPU2_568,1,143.008,975,50
7613,0,0,8.36938e+08,CPU2_567,1,92.9932,2016,50
15223,0,0,6.35106e+08,CPU2_566,1,70.5673,1451,50
30501,0,0,7.29427e+08,CPU2_565,1,81.0474,3062,50
7719,0,0,1.81839e+09,CPU2_564,1,202.044,2018,50
7755,0,0,1.94426e+09,CPU2_563,1,216.029,2623,50
31266,0,0,1.16975e+09,CPU2_562,1,129.972,2675,50
31496,0,0,1.44298e+09,CPU2_561,1,160.331,2213,50
31594,0,0,5.3426e+08,SW5_39,1,0.410969,270,7
31678,0,0,1.26729e+08,CPU2_560,1,14.081,2158,50
16050,0,0,5.32557e+08,CPU2_559,1,59.173,2763,50
16173,0,0,1.73618e+09,CPU2_558,1,192.909,1949,50
32501,0,0,2.07382e+09,CPU2_557,1,230.424,2887,50
16375,0,0,4.92387e+08,CPU2_556,1,54.7097,1373,50
32615,0,0,1.81955e+09,SW6_55,1,1.81914,756,13
32693,0,0,1.75965e+09,SW5_38,1,1.35358,314,7
32776,0,0,6.57535e+08,CPU2_555,2,73.0595,1043,50
4333,0,0,4.73154e+08,CPU2_554,2,52.5727,1378,50
8265,0,0,1.03677e+09,CPU2_553,2,115.196,1815,50
33316,0,0,2.11522e+08,SW5_37,2,0.162709,179,7
8366,0,0,4.72221e+08,CPU2_552,2,52.469,2445,50
16773,0,0,9.27731e+08,CPU2_551,2,103.081,2975,50
33853,0,0,6.97249e+08,CPU2_550,2,77.4722,2238,50
33988,0,0,9.67685e+08,CPU2_549,2,107.521,977,50
34229,0,0,5.2545e+07,SW5_36,2,0.0404192,668,7
17194,0,0,2.50202e+08,CPU2_548,2,27.8002,2526,50
34601,0,0,1.82843e+09,SW5_35,2,1.40649,323,7
34825,0,0,5.33512e+07,CPU2_547,2,5.92792,1938,50
4250,0,0,1.64843e+09,CPU2_546,2,183.159,3199,50
17555,0,0,5.58888e+08,CPU2_545,2,62.0987,2980,50
35438,0,0,1.07545e+08,SW5_34,2,0.0827267,48,7
35729,0,0,4.67946e+08,CPU2_544,2,51.994,1731,50
36080,0,0,5.75525e+08,CPU2_543,2,63.9472,1514,50
36303,0,0,7.3061e+08,SW5_33,2,0.562007,184,7
36522,0,0,6.32134e+08,SW5_32,2,0.486257,445,7
36714,0,0,1.13932e+09,SW5_31,2,0.8764,37,7
1190,0,0,4.36948e+08,CPU2_542,2,48.5497,3064,50
37192,0,0,1.67046e+08,SW6_54,2,0.167008,771,13
37557,0,0,1.02523e+09,CPU2_541,2,113.915,1343,50
37632,0,0,3.06013e+08,SW6_53,2,0.305945,900,13
37792,0,0,1.04617e+09,CPU2_540,2,116.241,2264,50
19103,0,0,3.44751e+08,SW5_30,2,0.265193,118,7
19105,0,0,1.04428e+09,CPU2_539,2,116.031,2364,50
19341,0,0,8.64447e+08,CPU2_538,2,96.0497,939,50
4840,0,0,7.39908e+08,SW5_29,2,0.56916,430,7
2424,0,0,4.33635e+08,CPU2_537,2,48.1817,2736,50
38787,0,0,1.42026e+09,SW5_28,2,1.09251,111,7
38888,0,0,1.05869e+09,SW5_27,2,0.814373,378,7
39183,0,0,9.71976e+08,CPU2_536,2,107.997,2084,50
19634,0,0,8.89304e+08,CPU2_535,2,98.8116,1917,50
19687,0,0,1.12339e+09,CPU2_534,2,124.821,1808,50
