# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
11981,0,0,5.74957e+08,CPU3_463,16,569.264,1302,98
6028,0,0,1.47981e+09,CPU3_462,16,1465.15,1177,98
48128,0,0,2.24621e+08,CPU3_461,16,222.397,1472,98
752,0,15.7175,4.28166e+08,SW2_5,16,16.1068,276,4
48182,0,0,5.49151e+08,CPU3_460,16,543.714,1814,98
24227,0,0,1.61977e+09,CPU3_459,16,1603.73,2245,98
48568,0,0,7.27173e+08,CPU3_458,16,719.973,2596,98
24356,0,15.7502,1.9716e+09,SW2_14,16,17.5425,497,4
48778,0,15.0811,1.46365e+09,SW4_27,16,16.3879,908,5
48816,0,0,2.14668e+09,CPU3_457,16,2125.42,3126,98
49313,0,0,1.76319e+09,CPU3_456,16,1745.73,2669,98
6201,0,15.0862,1.40504e+09,SW4_11,16,16.3406,502,5
6245,0,0,1.45852e+09,CPU3_455,16,1444.08,2482,98
12612,0,15.1424,6.3402e+08,SW4_15,16,15.7085,786,5
25353,0,0,1.24983e+09,CPU3_454,16,1237.45,2866,98
3160,0,15.153,1.8507e+09,SW4_29,16,16.8054,603,5
25484,0,0,5.26251e+08,CPU3_453,16,521.041,1082,98
25489,0,0,5.99913e+08,CPU3_452,16,593.974,1293,98
12744,0,0,1.67566e+09,CPU3_451,16,1659.07,1530,98
25723,0,0,1.37224e+09,CPU3_450,16,1358.65,3064,98
26594,0,0,1.00287e+09,CPU3_449,16,992.941,2963,98
26635,0,0,1.71608e+09,CPU3_448,16,1699.09,2859,98
13348,0,0,7.01221e+07,CPU3_447,16,69.4278,1276,98
6686,0,15.7533,1.28978e+09,SW2_10,16,16.9258,85,4
26741,0,0,6.79818e+08,CPU3_446,16,673.087,1931,98
27098,0,0,1.16224e+09,CPU3_445,16,1150.73,2480,98
27214,0,0,1.44119e+09,CPU3_444,16,1426.92,2791,98
27549,0,0,1.09724e+09,CPU3_443,16,1086.38,2468,98
3455,0,0,8.94042e+08,CPU3_442,16,885.19,2324,98
28016,0,0,1.92241e+09,CPU3_441,16,1903.38,2109,98
14113,0,0,1.4167e+09,CPU3_440,16,1402.67,1972,98
28252,0,15.8356,1.81106e+09,SW2_15,16,17.482,14,4
28272,0,0,5.85912e+08,CPU3_439,16,580.111,1936,98
28377,0,0,5.54235e+08,CPU3_438,16,548.748,2064,98
14198,0,0,1.06678e+09,CPU3_437,16,1056.22,1131,98
218,0,0,1.80105e+09,CPU3_436,16,1783.21,3092,98
28750,0,15.8642,1.78564e+09,SW2_1,16,17.4875,21,4
29147,0,15.9125,6.99754e+08,SW2_9,16,16.5486,147,4
14649,0,15.1776,8.25597e+08,SW4_13,16,15.9147,663,5
7366,0,15.9319,3.44832e+08,SW2_17,16,16.2454,145,4
14913,0,15.1981,1.08392e+09,SW4_10,16,16.1659,756,5
14993,0,0,4.60689e+08,CPU3_435,16,456.128,1437,98
7525,0,0,3.65585e+08,CPU3_434,16,361.965,1782,98
7578,0,0,1.36665e+09,CPU3_433,16,1353.11,1675,98
15296,0,0,1.13665e+09,CPU3_432,16,1125.4,3139,98
15532,0,0,1.17558e+09,CPU3_431,16,1163.95,2688,98
31216,0,0,1.2665e+09,CPU3_430,16,1253.96,1051,98
7821,0,0,1.63682e+09,CPU3_429,16,1620.61,1925,98
31613,0,15.283,2.02352e+09,SW4_30,16,17.0897,505,5
3981,0,0,3.84875e+08,CPU3_428,16,381.064,1601,98
32096,0,0,1.73924e+08,CPU3_427,16,172.202,2736,98
16054,0,0,1.67516e+08,CPU3_426,16,165.857,1441,98
2023,0,0,7.99492e+08,CPU3_425,16,791.576,1480,98
16181,0,0,7.37165e+08,CPU3_424,16,729.867,1759,98
1020,0,15.9731,1.7131e+09,SW2_8,16,17.5305,307,4
33522,0,0,1.20792e+09,CPU3_423,17,1195.96,1244,98
33646,0,0,1.79495e+09,CPU3_422,17,1777.18,1886,98
33855,0,16.0164,1.56735e+09,SW2_7,17,17.4412,102,4
529,0,0,1.05954e+09,CPU3_421,17,1049.05,2136,98
34016,0,16.0531,9.56774e+08,SW2_2,17,16.9229,440,4
34032,0,16.0575,1.87964e+09,SW2_12,17,17.7662,410,4
34071,0,0,1.05966e+09,CPU3_420,17,1049.17,1970,98
34199,0,0,1.25205e+09,CPU3_419,17,1239.65,3017,98
34225,0,0,1.49848e+09,CPU3_418,17,1483.64,2935,98
17181,0,16.1068,2.93498e+08,SW2_5,17,16.3736,366,4
4326,0,15.3232,7.09575e+08,SW4_31,17,15.9567,983,5
17427,0,0,1.82633e+09,CPU3_417,17,1808.25,1995,98
17444,0,0,1.56477e+09,CPU3_416,17,1549.28,2453,98
34888,0,0,1.25661e+09,CPU3_415,17,1244.17,3066,98
17575,0,0,1.1818e+09,CPU3_414,17,1170.09,1525,98
35200,0,0,7.66474e+08,CPU3_413,17,758.885,2126,98
8831,0,0,9.34238e+08,CPU3_412,17,924.988,1256,98
35413,0,0,1.60351e+09,CPU3_411,17,1587.63,2821,98
17720,0,0,1.98977e+09,CPU3_410,17,1970.07,1223,98
